Table                                                  
By continen                                            
Country/RegTotal PopulMuslim PopuMuslim percPercentage Sources    
Hong Kong H7213338    295746     4.1        < 0.1      [162][163] 
Hungary Hun9825704    40,000 - 600.4 – 0.6  < 0.1      [62][164][1
Iceland Ice343518     < 1,000    0.2        < 0.1      [166][167] 
India India1370000000 195000000  14.2       10.9       [168]      
Indonesia I263000000  229000000  87.2       12.7       [169]      
Iran Iran  83000000   82500000   99.4       4.6        [170]      
Iraq Iraq  40194216   38465864   95.7       1.9        [171][172] 
Republic of5068050    70952      1.4        < 0.1      [173][62]  
Isle of Man89407      < 1,000    0.2        < 0.1      [174]      
Israel Isra8424904    1516482    18         0.1        [175][176] 
Italy Italy62246674   2987840    4.8        0.1        [177][62]  
Jamaica Jam2812090    5624       0.2        < 0.1      [178][179] 
Japan Japan126168156  185000     0.1        < 0.1      [180][181] 
Jordan Jord10458413   10165577   97.2       0.4        [182]      
Kazakhstan 18744548   13158672   70.2       0.5        [183]      
Kenya Kenya48397527   5500000    11.2       0.2        [184]      
Kiribati Ki109367     < 1,000    < 0.1      < 0.1      [185]      
Kosovo Koso1907592    1823657    95.6       0.1        [186]      
Kuwait Kuwa2916467    2175684    74.6       0.2        [187]      
Kyrgyzstan 5849296    4679436    80         0.3        [188][189] 
Laos Laos  7234171    1000       < 0.1      < 0.1      [190][191] 
Latvia Latv1923559    2000       0.1-0.2    < 0.1      [192][193] 
Lebanon Leb6100075    3519743    57.7       0.2        [194]      
Lesotho Les1962461    3000       0.1        < 0.1      [195]      
Liberia Lib4809768    961953     20         < 0.1      [196][197] 
Libya Libya6754507    6551871    97         0.4        [198][199] 
Liechtenste38000      2050       5.4        < 0.1      [200]      
Lithuania L2793284    3000       0.1        < 0.1      [201][202] 
Luxembourg 605764     18172      3          < 0.1      [203][204] 
Macau Macau606340     < 1,000    0.1        < 0.1      [205][206] 
Madagascar 25683610   2568361    10         < 0.1      [207][208] 
Malawi Mala19842560   3968512    20         0.1        [209][210] 
Malaysia Ma31809660   16318355   61.3       1.1        [211]      
Maldives Ma392473     386193     98.4       < 0.1      [212][213] 
Mali Mali  18429893   17508398   95         0.8        [214][89]  
