"N","CN","CONTINENT","COUNTRY","2017","S","2019","S","","","","",""
"78","24","LAC","Panama ","LEGAL","2","LEGAL","2","","","","",""
"79","25","LAC","Paraguay","LEGAL","2","LEGAL","2","","","","",""
"80","26","LAC","Peru ","LEGAL","2","LEGAL","2","","","","",""
"81","27","LAC","St Kitts & Nevis","ILLEGAL","0","ILLEGAL","0","","","","",""
"82","28","LAC","St Lucia","ILLEGAL","0","ILLEGAL","0","","","","",""
"83","29","LAC","St Vincent & the Grenadines","ILLEGAL","0","ILLEGAL","0","","","","",""
"84","30","LAC","Suriname ","LEGAL","2","LEGAL","2","","","","",""
"85","31","LAC","Trinidad and Tobago","ILLEGAL","0","LEGAL","2","","Changed!","","",""
"86","32","LAC","Uruguay ","LEGAL","2","LEGAL","2","","","","",""
"87","33","LAC","Venezuela","LEGAL","2","LEGAL","2","","","","",""
"88","1","NA","Canada","LEGAL","2","LEGAL","2","","","","",""
"89","2","NA","United States","LEGAL","2","LEGAL","2","","","","",""
"90","1","ASIA","Afghanistan","ILLEGAL","0","ILLEGAL","0","","","","",""
"91","2","ASIA","Bahrain","LEGAL","2","LEGAL","2","","","","",""
"92","3","ASIA","Bangladesh","ILLEGAL","0","ILLEGAL","0","","","","",""
"93","4","ASIA","Bhutan","ILLEGAL","0","ILLEGAL","0","","","","",""
"94","5","ASIA","Brunei Darussalam","ILLEGAL","0","ILLEGAL","0","","","","",""
"95","6","ASIA","Cambodia","LEGAL","2","LEGAL","2","","","","",""
"96","7","ASIA","China","LEGAL","2","LEGAL","2","","","","",""
"97","8","ASIA","East Timor ","LEGAL","2","LEGAL","2","","","","",""
"98","9","ASIA","Palestine","","1","","1","","","","",""
"99","10","ASIA","India","ILLEGAL","0","LEGAL","2","","Changed!","","",""
"100","11","ASIA","Indonesia","LEGAL","1","LEGAL","1","","","","",""
"101","12","ASIA","Iraq","ILLEGAL","0","DE FACTO ILLEGAL","1","","Changed!","","",""
"102","13","ASIA","Iran","ILLEGAL","0","ILLEGAL","0","","","","",""
"103","14","ASIA","Israel ","LEGAL","2","LEGAL","2","","","","",""
"104","15","ASIA","Japan ","LEGAL","2","LEGAL","2","","","","",""
"105","16","ASIA","Jordan ","LEGAL","2","LEGAL","2","","","","",""
"106","17","ASIA","Kazakhstan ","LEGAL","2","LEGAL","2","","","","",""
"107","18","ASIA","Kuwait","ILLEGAL","0","ILLEGAL","0","","","","",""
"108","19","ASIA","Kyrgyzstan ","LEGAL","2","LEGAL","2","","","","",""
"109","20","ASIA","Laos","LEGAL","2","LEGAL","2","","","","",""
"110","21","ASIA","Lebanon","ILLEGAL","0","ILLEGAL","0","","","","",""
"111","22","ASIA","Malaysia","ILLEGAL","0","ILLEGAL","0","","","","",""
"112","23","ASIA","Maldives","ILLEGAL","0","ILLEGAL","0","","","","",""
"113","24","ASIA","Mongolia ","LEGAL","2","LEGAL","2","","","","",""
"114","25","ASIA","Myanmar","ILLEGAL","0","ILLEGAL","0","","","","",""
"115","26","ASIA","Nepal ","LEGAL","2","LEGAL","2","","","","",""
"116","27","ASIA","North Korea","LEGAL","2","LEGAL","2","","","","",""
"117","28","ASIA","Oman","ILLEGAL","0","ILLEGAL","0","","","","",""
"118","29","ASIA","Pakistan","ILLEGAL","0","ILLEGAL","0","","","","",""
"119","30","ASIA","Philippines","LEGAL","2","LEGAL","2","","","","",""
"120","31","ASIA","Qatar","ILLEGAL","0","ILLEGAL","0","","","","",""
"121","32","ASIA","Saudi Arabia","ILLEGAL","0","ILLEGAL","0","","","","",""
"122","33","ASIA","Singapore","ILLEGAL","0","ILLEGAL","0","","","","",""
"123","34","ASIA","South Korea","LEGAL","2","LEGAL","2","","","","",""
"124","35","ASIA","Sri Lanka","ILLEGAL","0","ILLEGAL","0","","","","",""
"125","36","ASIA","Syria","ILLEGAL","0","ILLEGAL","0","","","","",""
"126","37","ASIA","Taiwan","","2","","2","","","","",""
"127","38","ASIA","Tajikistan ","LEGAL","2","LEGAL","2","","","","",""
"128","39","ASIA","Thailand ","LEGAL","2","LEGAL","2","","","","",""
"129","40","ASIA","Turkmenistan","ILLEGAL","0","ILLEGAL","0","","","","",""
"130","41","ASIA","Vietnam","LEGAL","2","LEGAL","2","","","","",""
"131","42","ASIA","United Arab Emirates","ILLEGAL","0","ILLEGAL","0","","","","",""
"132","43","ASIA","Uzbekistan","ILLEGAL","0","ILLEGAL","0","","","","",""
"133","44","ASIA","Yemen","ILLEGAL","0","ILLEGAL","0","","","","",""
"134","1","EUROPE","Albania ","LEGAL","2","LEGAL","2","","","","",""
"135","2","EUROPE","Andorra ","LEGAL","2","LEGAL","2","","","","",""
"136","3","EUROPE","Armenia ","LEGAL","2","LEGAL","2","","","","",""
"137","4","EUROPE","Austria ","LEGAL","2","LEGAL","2","","","","",""
