"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahrain","BHR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","69.7535095214844","","","","","","","","","","84.0138320922852","","","","","","","","","","86.5487365722656","","","","","","","","","94.5567932128906","","","","","","94.8899993896484","","",
"Bahamas, The","BHS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.063591003418","","","","","","","","","96.6631011962891","","","","","","","","","","","98.1420364379883","","96.9917678833008","","","","","",
"Belarus","BLR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8833694458008","","","","","","","","","","99.5907287597656","","","","","","","","","","99.617057800293","","","","","","","","","",
"Belize","BLZ","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2984237670898","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.2081489562988","","","","","","","","","","","","","","","","79.9917678833008","","","","","","","","","86.7236709594727","","","","","","90.7434692382813","90.698112487793","91.1678314208984","","92.2261505126953","94.4605712890625","","","92.455078125","","","",
"Brazil","BRA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","74.5867309570313","","","","","","","","","","","","","","","","","","","","86.3678817749023","","","","88.6162414550781","","89.6152267456055","90.0093688964844","90.03662109375","90.298210144043","90.3791809082031","91.4112396240234","91.3378524780273","91.4842376708984","91.7294311523438","92.0478973388672","","","",
"Barbados","BRB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","99.2680816650391","","","","","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","","","","","","","99.5999984741211","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","77.7354965209961","","","","","","","","","","87.8041763305664","","","","","","","","","","92.6711273193359","","","","","","","","","","96.085563659668","","","","","","","",
"Bhutan","BTN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.8146896362305","","","","","","","57.0335998535156","","","","","","",
"Botswana","BWA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5809097290039","","","","","","","","","","","","81.1887130737305","","","","","","","","","","","87.6999969482422","","","","",
"Central African Republic","CAF","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.2361698150635","","","","","","","","","","","","","33.6244201660156","","","","","","","","","","","","50.6451683044434","","","","","","","","","","36.7526092529297","","","","","","","","",
"Canada","CAN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","98.0068893432617","98.0263137817383","98.0582733154297","98.0856018066406","98.1073379516602","98.1396331787109","98.2081985473633","98.272102355957","98.3347702026367","98.3809432983398","98.4324569702148","98.4743804931641","","","","","","","","","","","","","","","","","","","","","","","","","",
